Authors,Article Title,Source Title,Study,Study,Species common name,Species,,Regne,Phyla,Classe,Ordre,Factor,Factor variation,Crossing/wild,Method,Type of h? (narrow / broad),keep?,comment,Which is stressful?,Stress (heat/acidity/drought/wet),trait,trait type (lht/morpho/physio/behav),error type,h? mild environment,se h? mild,range of CI mild,SE m,h? harsh environment,se h? harsh environment,range of CI harsh,SE h,error type,evolvability mild environment,se evolvability mild environment,evolvability harsh environment,se evolvability harsh environment,error type,Evol_Mild,Evol_Harsh,Va mild environment,se Va mild environment,Va harsh environment,se Va harsh environment,Vp mild,Vp harsh,mean mild,se mean mild,mean harsh,se mean harsh,ISSN,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Early Access Date,UT (Unique WOS ID)
"Moghadam, NN; Sidhu, K; Summanen, PAM; Ketola, T; Kronholm, I",Quantitative genetics of temperature performance curves of Neurospora crassa,EVOLUTION,11,8,fungus,Neurospora crassa,,Fungi,Ascomycota,Sordariomycetes,Sordariales,temperature,Lab experiment,controlled crossing of clones,"unclear, prbably among clones",broad sense,1,"6 temperatures from 20 to 40. They determine that 35 is optimal, so I took 35 and 40 (skipped the cold trt as in context of cc less likely)",heat,heat,growth rate,LHT,95% CI,0.89,[0.88; 0.91],0.03,0.007653061,0.63,[0.58; 0.67],0.09,0.022959184,95%CI,17.1,0.663265306,25.1,1.147959184,95%CI,17.1,25.1,0.5,0.035714286,0.34,0.028061224,,,,,,,0014-3820,2020,74,8,1772,1787,,10.1111/evo.14016,20-May,WOS:000536234800001
"De Kort, H; Panis, B; Helsen, K; Douzet, R; Janssens, SB; Honnay, O",Pre-adaptation to climate change through topography-driven phenotypic plasticity,JOURNAL OF ECOLOGY,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,"H? not h?, mention their estimates are unreliable, several populations |AT",drought,drought, Flowering,LHT,se,0.5509648,0.1986036,,0.1986036,0.2820209,0.3057451,,0.3057451,,,,,,,,,,,,,,,,,,,0022-0477,2020,108,4,1465,1474,,10.1111/1365-2745.13365,20-Feb,WOS:000516857200001
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,BV,drought,drought, Flowering,LHT,se,0.8884837,0.1220594,,0.1220594,0.7965639,0.1490079,,0.1490079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,F,drought,drought, Flowering,LHT,se,0.1097835,1.000221,,1.000221,0.2716949,0.5758513,,0.5758513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,G,drought,drought, Flowering,LHT,se,0.5038175,0.2688443,,0.2688443,0.4788032,0.3154199,,0.3154199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,LC,drought,drought, Flowering,LHT,se,0.6068402,0.2275024,,0.2275024,0.8381003,0.09209459,,0.09209459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,ML,drought,drought, Flowering,LHT,se,0.5133765,0.2406814,,0.2406814,0.4256417,0.468243,,0.468243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,PN,drought,drought, Flowering,LHT,se,0.5425538,0.2766828,,0.2766828,0.6608543,0.1722949,,0.1722949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,SQ,drought,drought, Flowering,LHT,se,0.8011405,0.0888151,,0.0888151,0.7055354,0.1279277,,0.1279277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,SX,drought,drought, Flowering,LHT,se,0,0.601867,,0.601867,0.1779537,0.4784052,,0.4784052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,TC,drought,drought, Flowering,LHT,se,0.2209158,0.3968451,,0.3968451,0.05696225,0.453343,,0.453343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,TP,drought,drought, Flowering,LHT,se,0.1068142,0.3938896,,0.3938896,0.7258384,0.1403174,,0.1403174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,AT,drought,drought, Growth,LHT,se,0.6391747,0.1597117,,0.1597117,0.4601197,0.2315847,,0.2315847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,AT,drought,drought, Runnering,LHT,se,0.4549853,0.2409086,,0.2409086,0.793894,0.08864803,,0.08864803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,AT,drought,drought, SLA,Morphology,se,0.7157591,0.1257032,,0.1257032,0.2235659,0.3297812,,0.3297812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,AT,drought,drought, Stomata,Morphology,se,0,0.4368227,,0.4368227,0.2292186,0.3273806,,0.3273806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,BV,drought,drought, Growth,LHT,se,0.3964915,0.6621284,,0.6621284,0.01540007,0.7146993,,0.7146993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,Bv,drought,drought, Runnering,LHT,se,0.6219235,0.4138814,,0.4138814,0.3296023,0.4901776,,0.4901776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,BV,drought,drought, SLA,Morphology,se,0.7902533,0.2295168,,0.2295168,0.7212057,0.2040116,,0.2040116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,BV,drought,drought, Stomata,Physiology,se,0.6088544,0.4281735,,0.4281735,0.4945227,0.3699023,,0.3699023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,F,drought,drought, Growth,LHT,se,0,1.121389,,1.121389,0.8214413,0.1413043,,0.1413043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,F,drought,drought, Runnering,LHT,se,0.6691852,0.3712815,,0.3712815,0.5488969,0.3571672,,0.3571672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,F,drought,drought, SLA,Morphology,se,0.90574,0.1054109,,0.1054109,0.4748292,0.4158263,,0.4158263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,F,drought,drought, Stomata,Physiology,se,0.1173633,0.9956116,,0.9956116,0.5660151,0.3433833,,0.3433833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,G,drought,drought, Growth,LHT,se,0,0.5316304,,0.5316304,0.1736716,0.4956021,,0.4956021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,G,drought,drought, Runnering,LHT,se,0.04170971,0.5111671,,0.5111671,0.6631302,0.2042777,,0.2042777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,G,drought,drought, SLA,Morphology,se,0,0.5316304,,0.5316304,0,0.5927504,,0.5927504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,G,drought,drought, Stomata,Physiology,se,0,0.5316304,,0.5316304,0.4714963,0.3198454,,0.3198454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,LC,drought,drought, Growth,LHT,se,0.2494176,0.4305095,,0.4305095,0,0.5574946,,0.5574946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,LC,drought,drought, Runnering,LHT,se,0.4680074,0.3072726,,0.3072726,0.6665691,0.1897675,,0.1897675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,LC,drought,drought, SLA,Morphology,se,0.5792488,0.2434324,,0.2434324,0.8381003,0.09209459,,0.09209459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,LC,drought,drought, Stomata,Physiology,se,0.4466565,0.3192128,,0.3192128,0,0.5574946,,0.5574946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,ML,drought,drought, Growth,LHT,se,0.5342169,0.2304509,,0.2304509,0,0.8012545,,0.8012545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,ML,drought,drought, Runnering,LHT,se,0.9007512,0.04901113,,0.04901113,0.9056691,0.07651994,,0.07651994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,ML,drought,drought, SLA,Morphology,se,0.2882123,0.3498302,,0.3498302,0.7728022,0.1846802,,0.1846802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,ML,drought,drought, Stomata,Physiology,se,0.1725021,0.4045567,,0.4045567,0.3603401,0.5219606,,0.5219606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,PN,drought,drought, Growth,LHT,se,0.7293844,0.1637933,,0.1637933,0,0.4977806,,0.4977806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,PN,drought,drought, Runnering,LHT,se,0.7043473,0.1789653,,0.1789653,0.3572779,0.3257542,,0.3257542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,PN,drought,drought, SLA,Morphology,se,0.8599248,0.08469489,,0.08469489,0,0.4977806,,0.4977806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,PN,drought,drought, Stomata,Physiology,se,0.3283605,0.4067722,,0.4067722,0.1450267,0.4291937,,0.4291937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,SQ,drought,drought, Growth,LHT,se,0.494422,0.2255467,,0.2255467,0.5720805,0.1857608,,0.1857608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,SQ,drought,drought, Runnering,LHT,se,0.8501661,0.06684548,,0.06684548,0.8854646,0.0496836,,0.0496836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,SQ,drought,drought, SLA,Morphology,se,0.7518845,0.1108483,,0.1108483,0.6629444,0.1464036,,0.1464036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,SQ,drought,drought, Stomata,Physiology,se,0.3606011,0.2842605,,0.2842605,0,0.4270728,,0.4270728,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,SX,drought,drought, Growth,LHT,se,0.5739996,0.2634132,,0.2634132,0.1643472,0.4859594,,0.4859594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,Sx,drought,drought, Runnering,LHT,se,0.8397171,0.0988965,,0.0988965,0.636421,0.212641,,0.212641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,Sx,drought,drought, SLA,Morphology,se,0.2210003,0.4764093,,0.4764093,0,0.5775252,,0.5775252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,Sx,drought,drought, Stomata,Physiology,se,0.6305022,0.2284416,,0.2284416,0,0.5775252,,0.5775252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,TC,drought,drought, Growth,LHT,se,0,0.5022005,,0.5022005,0.1185849,0.4259486,,0.4259486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,RC,drought,drought, Runnering,LHT,se,0.6874209,0.1603813,,0.1603813,0,0.4777045,,0.4777045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,TC,drought,drought, SLA,Morphology,se,0.6977675,0.1549579,,0.1549579,0,0.4777045,,0.4777045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,TC,drought,drought, Stomata,Physiology,se,0,0.5022005,,0.5022005,0.2973108,0.3441753,,0.3441753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,TP,drought,drought, Growth,LHT,se,0.2539481,0.3308718,,0.3308718,0.2861836,0.3624678,,0.3624678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,TP,drought,drought, Runnering,LHT,se,0.7035787,0.1322677,,0.1322677,0.7483979,0.1286583,,0.1286583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,TP,drought,drought, SLA,Morphology,se,0.4689429,0.2365912,,0.2365912,0.006826679,0.4982156,,0.4982156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,9,woodland strawberry,Fragaria vesca,,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,1,TP,drought,drought, Stomata,Physiology,se,0.6367168,0.1621321,,0.1621321,0.1193397,0.4438696,,0.4438696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suni, SS; Ainsworth, B; Hopkins, R",Local adaptation mediates floral responses to water limitation in an annual wildflower,AMERICAN JOURNAL OF BOTANY,13,10,Annual phlox,Phlox drummondii,,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,1,Data from 4 time points,drought,drought,Nectar volume,Physiology,se,0.76,0.61,,0.61,0.25,0.56,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,10,Annual phlox,Phlox drummondii,,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,1,Data from 4 time points,drought,drought,Nectar volume,Physiology,se,0.95,0.55,,0.55,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,10,Annual phlox,Phlox drummondii,,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,1,Data from 4 time points,drought,drought,Nectar sugar amount,Physiology,se,0,0,,0,0.55,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,10,Annual phlox,Phlox drummondii,,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,1,Data from 4 time points,drought,drought,Nectar sugar amount,Physiology,se,0.59,0.5,,0.5,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,10,Annual phlox,Phlox drummondii,,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,1,Data from 4 time points,drought,drought,Petal length,Morphology,se,0.87,0.55,,0.55,0.17,0.56,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,10,Annual phlox,Phlox drummondii,,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,1,Data from 4 time points,drought,drought,Petal length,Morphology,se,0.92,0.6,,0.6,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,10,Annual phlox,Phlox drummondii,,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,1,Data from 4 time points,drought,drought,Corolla length,Morphology,se,0.2,0.49,,0.49,0.13,0.71,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,10,Annual phlox,Phlox drummondii,,Plantae,Angiosperm,Eudicots,Ericales,drought,Lab experiment,"half sibs by crossings, 7 populations",Variance among maternal families,broad sense,1,Data from 4 time points,drought,drought,Corolla length,Morphology,se,0.37,0.47,,0.47,0.2,0.64,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MacTavish, R; Anderson, JT",Resource availability alters fitness trade-offs: implications for evolution in stressful environments,AMERICAN JOURNAL OF BOTANY,14,11,Drummond's rockcress,Boechera stricta,,Plantae,Angiosperm,Eudicots,Brassicales,drought*nutrient,Lab experiment,full sibs,animal model,broad sense,1,"H? not h?, nutrient*drought (rain affects nutrient) keep moderate * un stress, could rerun models to get Va estimates, pedigree and data files available",drought,drought,relative growth rate,LHT,95% CI,0.275,[0.096; 0.465],0.369,0.094132653,0.293,[0.107; 0.498],0.391,0.099744898,,,,,,,,,,,,,,,,,,,0002-9122,2020,107,2,308,318,,10.1002/ajb2.1417,,WOS:000517463600014
,,,14,11,Drummond's rockcress,Boechera stricta,,Plantae,Angiosperm,Eudicots,Brassicales,drought*nutrient,Lab experiment,full sibs,animal model,broad sense,1,"H? not h?, nutrient*drought (rain affects nutrient) keep moderate * un stress, could rerun models to get Va estimates, pedigree and data files available",drought,drought,Fecundity,LHT,95% CI,0.138,[0.033; 0.258],0.225,0.057397959,0.174,[0.044; 0.314],0.27,0.068877551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,11,Drummond's rockcress,Boechera stricta,,Plantae,Angiosperm,Eudicots,Brassicales,drought*nutrient,Lab experiment,full sibs,animal model,broad sense,1,"H? not h?, nutrient*drought (rain affects nutrient) keep moderate * un stress, could rerun models to get Va estimates, pedigree and data files available",drought,drought,probability of breeding,LHT,95% CI,0.81,[0.565; 0.962],0.397,0.10127551,0.997,[0.994; 1],0.006,0.001530612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,11,Drummond's rockcress,Boechera stricta,,Plantae,Angiosperm,Eudicots,Brassicales,drought*nutrient,Lab experiment,full sibs,animal model,broad sense,1,"H? not h?, nutrient*drought (rain affects nutrient) keep moderate * un stress, could rerun models to get Va estimates, pedigree and data files available",drought,drought,Survival,LHT,95% CI,0.823,[0.457; 0.98],0.523,0.133418367,0.642,[0.321; 0.96],0.639,0.163010204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodriguez, ME; Lauff, D; Cortizo, S; Luquez, VMC","Variability in flooding tolerance, growth and leaf traits in a Populus deltoides intraspecific progeny",TREE PHYSIOLOGY,15,12,eastern cottonwood,Populus deltoides,,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,1,,floods,wet,Final height,Morphology,se,0.3,0.11,,0.11,0.3,0.12,,0.12,,,,,,,,,,,,,,,,,,,0829-318X,2020,40,1,19,29,,10.1093/treephys/tpz128,,WOS:000522853000003
,,,15,12,eastern cottonwood,Populus deltoides,,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,1,,floods,wet,Final diameter,Morphology,se,0.18,0.11,,0.11,0.15,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,12,eastern cottonwood,Populus deltoides,,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,1,,floods,wet,Growth rate in height,LHT,se,0.34,0.11,,0.11,0.28,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,12,eastern cottonwood,Populus deltoides,,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,1,,floods,wet,Growth rate in diameter,LHT,se,0.09,0.1,,0.1,0.03,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,12,eastern cottonwood,Populus deltoides,,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,1,,floods,wet,Individual leaf area,Morphology,se,0.56,0.11,,0.11,0.43,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,12,eastern cottonwood,Populus deltoides,,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,1,,floods,wet,Final leaf number,Morphology,se,0.45,0.12,,0.12,0.38,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,12,eastern cottonwood,Populus deltoides,,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,1,,floods,wet,Leaf number increase rate,LHT,se,0.48,0.11,,0.11,0.24,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,12,eastern cottonwood,Populus deltoides,,Plantae,Angiosperm,Eudicots,Malpighiales,flooding,Lab experiment,30 full sibs families + parents,breedR provides BV => animal model?,broad sense,1,,floods,wet,Abcission rate,LHT,se,0.26,0.13,,0.13,0.32,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
