Study	Species	Trait	fit.trait	Heritability	Evolvability	Mean	Ie	Type	Scale	Organism	Measure
Cheetham.et.al..(1994)	Metrarabdotos.nsp10	na	no	0.571	0.385	8.78	0.289	Size	Count	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp3	lz	no	0.695	0.291	10.6	0.128	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp3	wz	no	0.29	0.082	4.42	0.2	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp3	lo	no	0.32	0.099	1.39	0.211	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp3	wo	no	0.152	0.01	1.25	0.054	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp3	ld	no	0.743	1.684	0.84	0.584	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp3	lavs	no	0	0	0.81	NA	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp3	lavl	no	0.05	0.064	0.97	1.211	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp3	na	no	0.645	0.401	12.8	0.22	Size	Count	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp4	lz	no	0.625	0.324	11.15	0.194	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp4	wz	no	0.608	0.244	4.52	0.157	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp4	lo	no	0.733	0.654	1.42	0.239	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp4	wo	no	0.157	0.018	1.31	0.098	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp4	ld	no	0	0	0.87	NA	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp4	na	no	0.777	0.479	13.99	0.138	Size	Count	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp5	lz	no	0.059	0.011	6.56	0.168	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp5	wz	no	0.477	0.197	2.95	0.216	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp5	lo	no	0.791	0.696	1.43	0.184	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp5	wo	no	0.2	0.015	1.17	0.058	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp5	ld	no	0.581	0.56	0.72	0.404	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp5	lavs	no	0.257	1.098	0.75	3.168	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp5	lavl	no	0.518	1.875	0.91	1.748	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp5	na	no	0.616	0.813	8.69	0.507	Size	Count	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp9	lz	no	0.734	0.444	6.58	0.161	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp9	wz	no	0.677	0.366	3.04	0.175	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp9	lo	no	0.518	0.112	1.52	0.104	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp9	wo	no	0.476	0.141	1.16	0.156	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp9	ld	no	0.147	0.087	0.41	0.508	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp9	lavs	no	0.136	0.109	0.79	0.692	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp9	lavl	no	0.345	0.291	0.91	0.554	Size	Linear	Bryozoan	Broadsense
Cheetham.et.al..(1994)	Metrarabdotos.nsp9	na	no	0.423	0.12	8.52	0.163	Size	Count	Bryozoan	Broadsense
Cheverud.(1996)	Saguinus.fuscicollis	IS-PM	no	0.11	0.029	55.54	0.236	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	IS-NSL	no	0.34	0.231	81.9	0.448	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	IS-PNS	no	0.39	0.097	158.33	0.152	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PM-ZS	no	0.24	0.097	90.41	0.308	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PM-ZI	no	0.44	0.09	145.59	0.114	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PM-MT	no	0.53	0.075	131.99	0.067	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	NSL-NA	no	0.52	0.593	66.03	0.547	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	NSL-ZS	no	0.18	0.036	120.04	0.162	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	NSL-ZI	no	0.48	0.061	193.4	0.066	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	NA-BR	no	0.42	0.068	261.28	0.094	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	NA-FM	no	0.31	0.04	146.15	0.09	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	NA-PNS	no	0.5	0.103	150.15	0.103	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	BR-PT	no	0.58	0.104	193.87	0.076	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	BR-APET	no	0.42	0.059	213.82	0.081	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PT-FM	no	0.47	0.422	70.9	0.476	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PT-APET	no	0.16	0.037	153.41	0.195	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PT-BA	no	0.32	0.05	237.27	0.107	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PT-EAM	no	0.25	0.084	160.3	0.253	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PT-SYGO	no	0.08	0.043	131.49	0.49	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PT-TSP	no	0.56	0.581	81.31	0.457	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	FM-ZS	no	0.85	0.674	81.57	0.119	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	FM-MT	no	0.31	0.055	144.49	0.122	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	ZS-ZI	no	0.87	0.486	79.26	0.073	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	ZI-MT	no	0.36	0.13	70.86	0.232	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	ZI-ZYGO	no	0.52	0.357	100.36	0.329	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	ZI-TSP	no	0.22	0.108	94.02	0.381	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	MT-PNS	no	0.67	0.215	67.11	0.106	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PNS-APET	no	0.74	0.247	99.43	0.087	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	APET-BA	no	0.3	0.115	103.7	0.268	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	APET-TS	no	0.4	0.168	71.16	0.252	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	BA-EAM	no	0.49	0.064	130.27	0.066	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	EAM-ZYGO	no	0.39	0.272	84.05	0.425	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	ZYGO-TSP	no	0.18	0.104	71.54	0.473	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	LD-AS	no	0.3	0.063	125.4	0.147	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	BR-LD	no	0.17	0.034	245.18	0.164	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	OPI-LD	no	0.44	0.075	177.52	0.095	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	PT-AS	no	0.29	0.05	252.82	0.122	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	JP-AS	no	0.49	0.122	111.13	0.127	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.fuscicollis	BA-OPI	no	0.34	0.108	67.61	0.21	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	IS-PM	no	0.25	0.068	55.51	0.203	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	IS-NSL	no	0.34	0.152	79.51	0.295	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	IS-PNS	no	0.45	0.08	156.84	0.098	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PM-ZS	no	0.39	0.138	84.79	0.215	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PM-ZI	no	0.43	0.094	140.64	0.124	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PM-MT	no	0.6	0.084	126.48	0.056	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	NSL-NA	no	0.45	0.45	64.98	0.549	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	NSL-ZS	no	0.31	0.066	118.36	0.147	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	NSL-ZI	no	0.51	0.078	192.15	0.075	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	NA-BR	no	0.26	0.037	256.34	0.106	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	NA-FM	no	0.1	0.01	144.7	0.094	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	NA-PNS	no	0.59	0.095	149.17	0.066	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	BR-PT	no	0.35	0.052	188.11	0.097	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	BR-APET	no	0.21	0.024	211	0.09	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PT-FM	no	0.53	0.406	69.03	0.36	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PT-APET	no	0.43	0.067	150.8	0.088	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PT-BA	no	0.46	0.049	236.2	0.058	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PT-EAM	no	0.44	0.084	160.39	0.107	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PT-SYGO	no	0.53	0.198	135.16	0.176	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PT-TSP	no	0.49	0.452	81.33	0.47	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	FM-ZS	no	0.48	0.167	81.01	0.18	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	FM-MT	no	0.68	0.085	142.78	0.04	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	ZS-ZI	no	0.69	0.385	79.2	0.173	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	ZI-MT	no	0.52	0.251	70.49	0.232	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	ZI-ZYGO	no	0.67	0.391	99.55	0.193	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	ZI-TSP	no	0.66	0.305	95.17	0.157	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	MT-PNS	no	0.44	0.093	65.96	0.118	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PNS-APET	no	0.65	0.185	94.52	0.1	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	APET-BA	no	0.56	0.124	104.55	0.097	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	APET-TS	no	0.59	0.177	69.55	0.123	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	BA-EAM	no	0.49	0.076	126.74	0.079	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	EAM-ZYGO	no	0.59	0.27	84.79	0.187	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	ZYGO-TSP	no	0.67	0.343	72.4	0.169	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	LD-AS	no	0.32	0.074	120.48	0.158	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	BR-LD	no	0.18	0.038	239.06	0.173	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	OPI-LD	no	0.25	0.051	170.56	0.154	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	PT-AS	no	0.41	0.045	248	0.065	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	JP-AS	no	0.59	0.159	107.53	0.111	Size	Linear	Mammal	Narrowsense
Cheverud.(1996)	Saguinus.oedipus	BA-OPI	no	0.27	0.089	67.94	0.242	Size	Linear	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	Horn.base.circumf.	no	0.43	0.303	31.15	0.401	Size	Linear	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	Horn.length	no	0.39	0.41	54.47	0.641	Size	Linear	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	weight	no	0.23	0.27	60.62	0.905	Size	Weight	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	mating.success	yes	0.06	22.09	0.47	346.077	LH	Count	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	longevity	yes	0	0	4.85	NA	LH	Time	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	LRS	yes	0	0	1.01	NA	LH	Count	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	lamb.weight.June	no	0.16	0.941	8.81	4.94	Size	Weight	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	lamb.weight.Sept	no	0.25	0.578	26.46	1.733	Size	Weight	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	weight.June	no	0.2	0.185	49.19	0.74	Size	Weight	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	weight.Sept	no	0.32	0.203	64.77	0.43	Size	Weight	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	age.at.primarity	yes	0.16	1.369	3.34	7.187	LH	Time	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	yearly.fecundity	yes	0.07	0.608	0.91	8.083	LH	Ordinal	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	weaning.success	yes	0	0	0.71	NA	LH	Ordinal	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	longevity	yes	0.07	3.098	7.18	41.154	LH	Time	Mammal	Narrowsense
Coltman.et.al..(2005)	Ovis.canadensis	LRS	yes	0	0	1.79	NA	LH	Count	Mammal	Narrowsense
Coltman.et.al.(2001)	Ovis.aries	hindleg	no	0.24	0.078	171.8	0.248	Size	Linear	Mammal	Narrowsense
Coltman.et.al.(2001)	Ovis.aries	weight	no	0.07	0.023	19.7	0.299	Size	Weight	Mammal	Narrowsense
Coltman.et.al.(2001)	Ovis.aries	hindleg	no	0.35	0.084	172.5	0.156	Size	Linear	Mammal	Narrowsense
Coltman.et.al.(2001)	Ovis.aries	weight	no	0.28	0.044	18.7	0.113	Size	Weight	Mammal	Narrowsense
Conner.&.Via.(1993)	Raphanus.raphanistrum	petal.length	no	0.63	0.748	10.69	0.439	Size	Linear	Plant	Narrowsense
Conner.&.Via.(1993)	Raphanus.raphanistrum	petal.width	no	1.17	2.152	8.78	-0.313	Size	Linear	Plant	Narrowsense
Conner.&.Via.(1993)	Raphanus.raphanistrum	corolla.tube	no	0.67	0.423	11.58	0.208	Size	Linear	Plant	Narrowsense
Conner.&.Via.(1993)	Raphanus.raphanistrum	short.filament	no	0.51	0.391	9.58	0.375	Size	Linear	Plant	Narrowsense
Conner.&.Via.(1993)	Raphanus.raphanistrum	long.filament	no	0.57	0.37	11.71	0.279	Size	Linear	Plant	Narrowsense
Conner.&.Via.(1993)	Raphanus.raphanistrum	pistil	no	0.9	1.309	14.79	0.145	Size	Linear	Plant	Narrowsense
Conner.et.al..(2003)	Raphanus.raphanistrum	petal.length	no	0.12	0.299	7.71	2.194	Size	Linear	Plant	Narrowsense
Conner.et.al..(2003)	Raphanus.raphanistrum	petal.width	no	0.33	0.891	6.89	1.809	Size	Linear	Plant	Narrowsense
Conner.et.al..(2003)	Raphanus.raphanistrum	corolla.tube	no	0.05	0.104	9.2	1.97	Size	Linear	Plant	Narrowsense
Conner.et.al..(2003)	Raphanus.raphanistrum	short.filament	no	0	0	6.69	NA	Size	Linear	Plant	Narrowsense
Conner.et.al..(2003)	Raphanus.raphanistrum	long.filament	no	0	0	8.86	NA	Size	Linear	Plant	Narrowsense
Conner.et.al..(2003)	Raphanus.raphanistrum	pistil	no	0.35	0.820836	11.29	1.524409714	Size	Linear	Plant	Narrowsense
Cotter.et.al..(2004)	Spodoptera.littoralis	Larval.development	yes	0.82	22.363	15.56	4.909	LH	Time	Insect	Narrowsense
Cotter.et.al..(2004)	Spodoptera.littoralis	Pupal.weight	no	0.85	2.759	0.31	0.487	Size	Weight	Insect	Narrowsense
Cotter.et.al..(2004)	Spodoptera.littoralis	Pupal.development.rate	yes	0.2	0.28	7.88	1.119	LH	Time	Insect	Narrowsense
Cotter.et.al..(2004)	Spodoptera.littoralis	Adult.longevity	yes	0.22	4.331	11.21	15.354	LH	Time	Insect	Narrowsense
Cotter.et.al..(2004)	Spodoptera.littoralis	Cuticular.melanization	no	0.36	4.406	3.08	7.833	Pattern	Ordinal	Insect	Narrowsense
Cotter.et.al..(2004)	Spodoptera.littoralis	Haemocyte.density	no	0.36	5.198	229.91	9.242	Physiological	Count	Insect	Narrowsense
Czesak.&.Fox.(2003)	Stator.limbatus	egg.length.	no	0.67	6.721	0.537	3.305	Size	Linear	Insect	Narrowsense
Czesak.&.Fox.(2003)	Stator.limbatus	lifetime.fecundity	yes	0.323	0.012	36.7	0.026	LH	Count	Insect	Narrowsense
Czesak.&.Fox.(2003)	Stator.limbatus	egg.length.	no	0.498	7.102	0.594	7.162	Size	Linear	Insect	Narrowsense
Czesak.&.Fox.(2003)	Stator.limbatus	lifetime.fecundity	yes	0.27	0.013	22.3	0.035	LH	Count	Insect	Narrowsense
Czesak.&.Fox.(2003)	Stator.limbatus	n.eggs.sired	yes	0.209	0.008	36.7	0.03	Behavior	Count	Insect	Narrowsense
Czesak.&.Fox.(2003)	Stator.limbatus	n.eggs.sired	yes	0.138	0.007	22.3	0.041	Behavior	Count	Insect	Narrowsense
De.Winter.(1992)	Ribautodelphax.imitans	call.interpulse.interval	no	0.98	3.662	0.85	0.075	Behavior	Time	Insect	Realized
De.Winter.(1992)	Ribautodelphax.imitans	call.interpulse.interval	no	0.51	1.906	0.85	1.831	Behavior	Time	Insect	Realized
De.Winter.(1992)	Ribautodelphax.imitans	call.interpulse.interval	no	1.14	3.022	0.89	-0.371	Behavior	Time	Insect	Realized
De.Winter.(1992)	Ribautodelphax.imitans	call.interpulse.interval	no	0.59	1.564	0.89	1.087	Behavior	Time	Insect	Realized
De.Winter.(1992)	Ribautodelphax.imitans	call.interpulse.interval	no	0.91	2.198	0.91	0.217	Behavior	Time	Insect	Realized
De.Winter.(1992)	Ribautodelphax.imitans	call.interpulse.interval	no	0.58	1.401	0.91	1.014	Behavior	Time	Insect	Realized
De.Winter.(1992)	Ribautodelphax.imitans	call.interpulse.interval	no	1.03	2.369	1	-0.069	Behavior	Time	Insect	Realized
De.Winter.(1992)	Ribautodelphax.imitans	call.interpulse.interval	no	0.88	2.024	1	0.276	Behavior	Time	Insect	Realized
Evanno.et.al..(2006)	Radix.balthica	Age.at.maturity	yes	0.37	1	176.43	1.702702703	LH	Time	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Size.at.maturity	yes	0.85	1.21	9.64	0.213529412	Size	Linear	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Fecundity	yes	0.002	1.21	7.71	603.79	LH	Count	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Longevity	yes	0.28	1.44	313.71	3.702857143	LH	Time	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Age.at.maturity	yes	0.26	0.81	177.55	2.305384615	LH	Time	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Size.at.maturity	yes	0.9	1.21	10.21	0.134444444	Size	Linear	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Fecundity	yes	2.23	0.25	9	-0.137892377	LH	Count	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Longevity	yes	0.45	1.96	319.29	2.395555556	LH	Time	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Age.at.maturity	yes	0.01	0.04	179.4	3.96	LH	Time	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Size.at.maturity	yes	0.85	1.21	10.35	0.213529412	Size	Linear	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Fecundity	yes	0.61	190.44	8.86	121.7567213	LH	Count	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Longevity	yes	0.86	4	315.68	0.651162791	LH	Time	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Age.at.maturity	yes	0.63	1	195.14	0.587301587	LH	Time	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Size.at.maturity	yes	0.82	1	10.56	0.219512195	Size	Linear	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Fecundity	yes	0.32	104.04	12.83	221.085	LH	Count	Mollusc	Narrowsense
Evanno.et.al..(2006)	Radix.balthica	Longevity	yes	0.52	2.25	323.28	2.076923077	LH	Time	Mollusc	Narrowsense
Evans.&.Marshall.(1996)	Brassica.campestris	height.wild	no	0.36	2.233	124	3.97	Size	Linear	Plant	Fullsib
Evans.&.Marshall.(1996)	Brassica.campestris	Flower.number.wild	yes	0.31	6.366	3050	14.17	LH	Count	Plant	Fullsib
Evans.&.Marshall.(1996)	Brassica.campestris	height.cultivar	no	0.63	6.139	67.8	3.606	Size	Linear	Plant	Fullsib
Evans.&.Marshall.(1996)	Brassica.campestris	Racem.density.cultivar	no	0.56	43.505	2.26	34.183	Shape	Count	Plant	Fullsib
Evans.&.Marshall.(1996)	Brassica.campestris	Flower.number.cultivar	yes	0.69	30.335	2430	13.629	LH	Count	Plant	Fullsib
Evans.et.al..(2006)	Taeniopygia.guttata	Corticosterone.titre	no	0.26	1.441179471	39.6	4.101818496	Physiological	Density	Bird	Realized
Evans.et.al..(2006)	Taeniopygia.guttata	Corticosterone.titre	no	-0.41	-2.607897153	33	NA	Physiological	Density	Bird	Realized
Evans.et.al..(2006)	Taeniopygia.guttata	Corticosterone.titre	no	0.24	1.781481014	26.7	5.641356544	Physiological	Density	Bird	Realized
Evans.et.al..(2006)	Taeniopygia.guttata	Corticosterone.titre	no	0.52	3.449527959	30.6	3.184179655	Physiological	Density	Bird	Realized
Fenster.&.Carr.(1997)	Mimulus.guttatus	Corrolla.width	no	0.376	1.68	24.2	2.787	Size	Linear	Plant	Narrowsense
Fenster.&.Carr.(1997)	Mimulus.guttatus	Pollen.n	yes	0.322	4.448	15403.8	9.365	LH	Count	Plant	Narrowsense
Fenster.&.Carr.(1997)	Mimulus.guttatus	Pollen.size	no	0	0	26.3	NA	Size	Linear	Plant	Narrowsense
Fenster.&.Carr.(1997)	Mimulus.guttatus	Ovulen	yes	0.483	9.018	1020.3	9.653	LH	Count	Plant	Narrowsense
Fenster.&.Carr.(1997)	Mimulus.guttatus	Corrolla.width	no	0.157	0	22.9	0	Size	Linear	Plant	Narrowsense
Fenster.&.Carr.(1997)	Mimulus.guttatus	Pollen.n	yes	0.259	1.128	18541.4	3.227	LH	Count	Plant	Narrowsense
Fenster.&.Carr.(1997)	Mimulus.guttatus	Pollen.size	no	0.032	0	27	0	Size	Linear	Plant	Narrowsense
Fenster.&.Carr.(1997)	Mimulus.guttatus	Ovulen	yes	0.402	2.779	1219.6	4.134	LH	Count	Plant	Narrowsense
Fenster.&.Carr.(1997)	Mimulus.micranthus	Corrolla.width	no	0.294	0.285	6.4	0.684	LH	Count	Plant	Broadsense
Fenster.&.Carr.(1997)	Mimulus.micranthus	Pollen.n	yes	0	0	2740.2	NA	Size	Linear	Plant	Broadsense
Fenster.&.Carr.(1997)	Mimulus.micranthus	Pollen.size	no	0.068	0.017	22.1	0.233	LH	Count	Plant	Broadsense
Fenster.&.Carr.(1997)	Mimulus.micranthus	Ovulen	yes	0.473	3.527	683.1	3.93	Size	Linear	Plant	Broadsense
Fenster.&.Carr.(1997)	Mimulus.micranthus	Corrolla.width	no	0.196	0.112	8.2	0.459	LH	Count	Plant	Broadsense
Fenster.&.Carr.(1997)	Mimulus.micranthus	Pollen.n	yes	0	0	4239.8	NA	Size	Linear	Plant	Broadsense
Fenster.&.Carr.(1997)	Mimulus.micranthus	Pollen.size	no	0.06	0.45	21.9	7.05	LH	Count	Plant	Broadsense
Fenster.&.Carr.(1997)	Mimulus.micranthus	Ovulen	yes	0.39	2.887	986.6	4.516	LH	Count	Plant	Broadsense
Fernandez.et.al..(2003)	Drosophila.melanogaster	fecundity	yes	0.087	1.155	36.06	12.163	LH	Count	Insect	Broadsense
Fernandez.et.al..(2003)	Drosophila.melanogaster	fecundity	yes	0.225	3.689	35.23	12.681	LH	Count	Insect	Broadsense
Fox.(1993)	Callosobruchus.maculatus	Oviposition.preference	no	0.726	12.516	0.551	4.724	Behavior	Ratio	Insect	Narrowsense
Fox.(1993)	Callosobruchus.maculatus	Oviposition.preference	no	0.878	18.015	0.365	2.503	Behavior	Ratio	Insect	Narrowsense
